name,category,type,fes,url
ゴリラカフェ,めがねグルメ,グルメ,めがねフェス,https://www.instagram.com/gorilla_cafe.fukui/
デリアテール,めがねグルメ,グルメ,めがねフェス,https://www.instagram.com/deliaterre_kurufu/
市立美術館カフェ カハビタウコ,めがねグルメ,グルメ,めがねフェス,https://www.instagram.com/kahvitauko2024/
雲職人ニュアージュ,めがねグルメ,グルメ,めがねフェス,https://www.instagram.com/patisserie_nuage/
Happy's Eat(ハピスイート),めがねグルメ,グルメ,めがねフェス,https://www.instagram.com/happyseat1024/
FOOD TRUCK USA EAT ME,めがねグルメ,グルメ,めがねフェス,https://www.instagram.com/foodtruckusa_eatme/
Park Coffee&Bagel,めがねグルメ,グルメ,めがねフェス,https://www.instagram.com/parkcoffeeandbagel/
和よしキッチンカー,めがねグルメ,グルメ,めがねフェス,https://www.instagram.com/kirakuizakaya.wayoshi/
無農薬玄米カレーコブカフェ,めがねグルメ,グルメ,めがねフェス,https://www.instagram.com/kovcafe/
サイラ,めがねグルメ,グルメ,めがねフェス,https://www.instagram.com/nihiki_teatime/
あすわの実,めがねグルメ,グルメ,めがねフェス,https://www.instagram.com/asuwanomi/
ほやっ停,めがねグルメ,グルメ,めがねフェス,https://www.instagram.com/hoyatteikawada/
ほっこりうまい焼き鳥（新横江2丁目　壮年会）,めがねグルメ,グルメ,めがねフェス,
キッチン　トリアージュ,めがねグルメ,グルメ,めがねフェス,
ランタン・ベア―,めがねグルメ,グルメ,めがねフェス,https://www.instagram.com/lantern_bear/
御園飯店,めがねグルメ,グルメ,めがねフェス,https://www.instagram.com/misonohanten_official/
つくし珈琲,めがねグルメ,グルメ,めがねフェス,https://www.instagram.com/tsukushi294cafe/
chouchou muffin,めがねグルメ,グルメ,めがねフェス,https://www.instagram.com/chouchoumuffin/
丸松茶舗,めがねグルメ,グルメ,めがねフェス,https://www.instagram.com/marumatsu.cha.ho/
PLUSJACK,めがねグッズ＆ワークショップ,ブース,めがねフェス,
めがね de Photo by Dot.Graph,めがねグッズ＆ワークショップ,ブース,めがねフェス,
Picklip ストア（吉岡ロゴテック）,めがねグッズ＆ワークショップ,ブース,めがねフェス,
クラチタ⭐︎プロジェクト,めがねグッズ＆ワークショップ,ブース,めがねフェス,
土直漆器,めがねグッズ＆ワークショップ,ブース,めがねフェス,
COTON,めがねグッズ＆ワークショップ,ブース,めがねフェス,
松原蝶製作,めがねグッズ＆ワークショップ,ブース,めがねフェス,
乾レンズ,めがねグッズ＆ワークショップ,ブース,めがねフェス,
KISSO,めがねグッズ＆ワークショップ,ブース,めがねフェス,
なうんず⌐◨-◨,めがねグッズ＆ワークショップ,ブース,めがねフェス,
ひろべこうき,めがねグッズ＆ワークショップ,ブース,めがねフェス,
メガネcafe,めがねグッズ＆ワークショップ,ブース,めがねフェス,
やぎ～ぬ工房,めがねグッズ＆ワークショップ,ブース,めがねフェス,
めがねWorks Jr.　眼鏡工業組合青年部 ,めがねグッズ＆ワークショップ,ブース,めがねフェス,
めがね縁日 　眼鏡卸商協同組合青年部,めがねグッズ＆ワークショップ,ブース,めがねフェス,
BOSTON CLUB,めがねグッズ＆ワークショップ,ブース,めがねフェス,
いちごフレンズ by Code for FUKUI,めがねグッズ＆ワークショップ,ブース,めがねフェス,
ペーパーグラス,めがねグッズ＆ワークショップ,ブース,めがねフェス,
Essilorluxottica 福井めがね工業株式会社,めがねグッズ＆ワークショップ,ブース,めがねフェス,
シャルマン,めがねグッズ＆ワークショップ,ブース,めがねフェス,
メガネノトビラ,めがねグッズ＆ワークショップ,ブース,めがねフェス,
鯖江サンユー,めがねグッズ＆ワークショップ,ブース,めがねフェス,
design88と福井ロイド,めがねグッズ＆ワークショップ,ブース,めがねフェス,
(株)三興,めがねグッズ＆ワークショップ,ブース,めがねフェス,
セーレン株式会社 コモエース化粧品,めがねグッズ＆ワークショップ,ブース,めがねフェス,
👓メガネ拭き屋,めがねグッズ＆ワークショップ,ブース,めがねフェス,
ジャパンポリマーク＆ribbon U,めがねグッズ＆ワークショップ,ブース,めがねフェス,